tta_inventory_id,tta_element_name_ko,tta_layer,tta_cardinality,c1_semantic,c2_data_model,c3_syntactic,c4_operational_semantic,c5_provenance,c6_quality,c7_access_constraint,mapping_priority,mapping_confidence,conflict_notes,decision_basis,reviewer_notes
TTA-0976-011,주제 ID (R),repository,R,re3data:subjectID,sh:datatype xsd:string; (no count constraint),ttaap:Repository_SubjectID → re3data:subjectID,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 1392 re3data.org property (ID 13.2) 직접 인용,
TTA-0976-012,주제명 (R),repository,M,re3data:subjectName,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Repository_SubjectName → re3data:subjectName,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 1402 re3data.org property (ID 13.3) 직접 인용,
TTA-0976-013,운영기관명,repository,M,dcterms:title,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:InstitutionName → dcterms:title,NA,NA,NA,NA,primary,medium,TTA가 InstitutionName에 DCMI title을 인용 (line 1412) but schema:legalName이 의미상 더 정확,"Rule 2: TTA가 DCMI 인용 → dcterms:title primary. 후순위: schema:legalName, re3data:institutionName",Phase C에서 schema:legalName 동시 표현 검토 권장
TTA-0976-014,운영기관 국가,repository,M,re3data:institutionCountry,sh:datatype xsd:string; sh:pattern '^[A-Z]{2}$' (ISO 3166-1 alpha-2 per [OVERRIDE]); sh:minCount 1; sh:maxCount 1,ttaap:InstitutionCountry → re3data:institutionCountry (with alpha-3 → alpha-2 변환),NA,NA,NA,NA,primary,medium,[OVERRIDE 적용] re3data 원본 alpha-3 (KOR) → TTA-AP는 alpha-2 (KR) 변환. KOR↔KR 변환 함수 필요,Rule 1: TTA 표준 line 1426 re3data.org property (ID 18.3) 직접 인용. 후순위: schema:addressCountry,Phase C: 변환 함수 구현 필수. PG606 피드백: alpha-2 통일 권고
TTA-0976-015,데이터베이스 접근 유형,repository,M,re3data:databaseAccessType,sh:in (open/restricted/closed); sh:minCount 1; sh:maxCount 1,ttaap:DatabaseAccessType → re3data:databaseAccessType,NA,NA,NA,dcterms:accessRights (access constraint slot active),primary,high,(none),Rule 1: TTA 표준 line 1436-1437 re3data.org property (ID 20.1) 직접 인용,c7 활성: 접근 제약 관련 — Phase C SHACL에 sh:hasValue 또는 sh:in 적용 필수
TTA-0976-016,데이터 접근 유형,repository,M,re3data:dataAccessType,sh:in (open/embargoed/restricted/closed); sh:minCount 1; sh:maxCount 1,ttaap:DataAccessType → re3data:dataAccessType,NA,NA,NA,dcterms:accessRights,primary,high,리포지터리 수준 data access type은 모든 데이터에 적용되는 기본값,Rule 1: TTA 표준 line 1447-1448 re3data.org property (ID 22.1) 직접 인용,c7 활성
TTA-0976-017,데이터 라이선스 이름,repository,M,re3data:dataLicenseName,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:DataLicenseName → re3data:dataLicenseName,NA,NA,NA,dcterms:license (license constraint slot active),primary,high,자유 형식 — 표준 통제어 없음,Rule 1: TTA 표준 line 1460 re3data.org property (ID 23.1) 직접 인용,c7 활성: 라이선스 이름 — 후순위 dcterms:license (자유 텍스트)
TTA-0976-018,데이터 라이선스 URL,repository,M,re3data:dataLicenseURL,sh:datatype xsd:anyURI; sh:minCount 1; sh:maxCount 1,ttaap:DataLicenseUrl → re3data:dataLicenseURL,NA,NA,NA,dcterms:license,primary,high,(none),Rule 1: TTA 표준 line 1475 re3data.org property (ID 23.2) 직접 인용. CC URI 권장,c7 활성: 라이선스 URL은 dcterms:license와 직접 동등
TTA-0976-019,데이터 업로드 유형,repository,M,re3data:dataUpload,sh:in (open/restricted/closed); sh:minCount 1; sh:maxCount 1,ttaap:DataUpload → re3data:dataUpload,NA,NA,NA,NA,primary,high,DCMI/Schema/DCAT에 직접 대응 없음 — re3data 전용 개념,Rule 1: TTA 표준 line 1486 re3data.org property (ID 24) 직접 인용,데이터 제출 정책 표현
TTA-0976-020,버전관리 지원,repository,M,re3data:versioning,sh:in (yes/no/unknown); sh:minCount 1; sh:maxCount 1,ttaap:Versioning → re3data:versioning,NA,NA,NA,NA,primary,high,"dcat:version은 자원의 버전 번호 (string), TTA Versioning은 시스템 능력 (boolean) — 의미 다름",Rule 1: TTA 표준 line 1496 re3data.org property (ID 27) 직접 인용,후순위 매핑 없음 (능력 표현)
TTA-0976-021,Enhanced Publication 지원,repository,M,re3data:enhancedPublication,sh:in (yes/no/unknown); sh:minCount 1; sh:maxCount 1,ttaap:EnhancedPublication → re3data:enhancedPublication,NA,NA,NA,NA,primary,high,DCMI/Schema/DCAT에 직접 대응 없음 — re3data 전용,Rule 1: TTA 표준 line 1506 re3data.org property (ID 34) 직접 인용,
TTA-0976-022,품질관리 여부,repository,M,re3data:qualityManagement,sh:in (yes/no/unknown); sh:minCount 1; sh:maxCount 1,ttaap:QualityManagement → re3data:qualityManagement,NA,NA,★ DQV slot ACTIVE when value='yes' (Boolean Activation Slot pattern; maps to dqv:hasQualityMetadata),NA,primary,high,★ Decision-Q4 적용: yes일 때만 DQV 어휘(dqv:hasQualityMeasurement/dqv:isMeasurementOf/dqv:Dimension) 활성화. no/unknown일 때 c6=NA,Rule 1: TTA 표준 line 1519 re3data.org property (ID 35) 직접 인용,**c6 활성 트리거** — Phase C에서 SHACL conditional shape 작성 필요
TTA-0976-023,리포지터리 설명,repository,R,dcterms:description,sh:datatype xsd:string; sh:minCount 0,ttaap:Repository_Description → dcterms:description,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 1537 DCMI 참조 직접 명시 + re3data 보조 ID 6,
TTA-0976-024,책임 유형,repository,O,re3data:responsibilityType,sh:in (general/funding/main/sponsoring/technical/other); sh:maxCount 1,ttaap:ResponsibilityType → re3data:responsibilityType,NA,prov:hadRole (loose; Decision-Q7 적용),NA,NA,primary,high,prov:hadRole은 Activity 맥락에서만 정의되고 Repository 맥락 직접 매핑 아님 — loose,Rule 1: TTA 표준 line 1550 re3data.org property (ID 18.4) 직접 인용. Decision-Q7: Repository에 PROV-O 보조 매핑 적용,c5 활성: prov:hadRole로 책임 유형 표현
TTA-0976-025,운영기관 연락처,repository,O,dcat:contactPoint,sh:datatype xsd:string OR sh:nodeKind sh:IRI (vCard 권장); sh:maxCount 1,ttaap:InstitutionContact → dcat:contactPoint,NA,NA,NA,NA,primary,high,(none),Rule 4 (DCAT v3 우선): re3data:institutionContact는 출처이나 schema:contactPoint와 dcat:contactPoint가 글로벌 표준. DCAT v3 채택. 출처 line 1564 re3data.org property (ID 18.10),후순위: schema:contactPoint (vCard 표현 시)
TTA-0976-026,리포지터리 연락처,repository,O,dcat:contactPoint,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:maxCount 1,ttaap:RepositoryContact → dcat:contactPoint,NA,NA,NA,NA,primary,high,(none),동일 패턴 (R20과 같음). 출처 line 1574 re3data.org property (ID 7),후순위: schema:contactPoint
TTA-0976-101,컬렉션,collection,O,dctype:Collection,sh:NodeShape (Class container); SHACL: dctype:Collection 제약 + hasMember 관계,ttaap:Collection → dctype:Collection,NA,NA,NA,NA,primary,high,TTA Collection은 데이터셋 그룹 — dctype:Collection (자원의 집합체)와 의미 일치,Rule 2: TTA 표준 line 312 DCMI 참조: dctype:Collection 직접 인용. 후순위: dcat:Catalog (4계층 구조 차이 같은 conflict),후순위 dcat:Catalog 검토 가능
TTA-0976-102,컬렉션 식별자,collection,M,dcterms:identifier,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Collection_Identifier → dcterms:identifier,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 328 DCMI 참조: dc:identifier 직접 인용,
TTA-0976-103,식별자 유형 (C),collection,M,datacite:identifierType,sh:in (IdentifierType CV: ARK/DOI/Handle/.../UCI); sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Collection_IdentifierType → datacite:identifierType,NA,NA,NA,NA,primary,high,(none),"Rule 1: TTA 표준 line 339 DataCite-Property (ID 1.1, identifierType) 직접 인용. DCMI에 IdentifierType 직접 대응 없음",CV값 매핑은 Step 4 처리
TTA-0976-104,컬렉션 제목,collection,M,dcterms:title,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Collection_Title → dcterms:title,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 355 DCMI 참조: dc:title 직접 인용,
TTA-0976-105,제목 유형 (C),collection,O,datacite:titleType,sh:in (AlternativeTitle/Subtitle/TranslatedTitle/other); sh:maxCount 1,ttaap:Collection_TitleType → datacite:titleType,NA,NA,NA,NA,secondary,medium,DCMI에 title-type 직접 대응 없음,"Rule 1: TTA 표준 line 366 DataCite-Property (ID 3.1, titleType) 직접 인용",
TTA-0976-106,컬렉션 날짜,collection,R,dcterms:date,sh:datatype xsd:date OR xsd:dateTime (W3CDTF 권장); sh:minCount 0,ttaap:Collection_Date → dcterms:date,NA,prov:generatedAtTime (when DateType=Created); prov:invalidatedAtTime (when DateType=Deleted) — Decision-Q3 conditional,NA,NA,primary,high,DateType에 따라 c5 활성 패턴 다름,Rule 2: TTA 표준 line 378 DCMI 참조: dc:date 직접 인용,c5 활성 — 통제어 매핑 단계에서 정밀화
TTA-0976-107,날짜 유형 (C),collection,M,(custom enumeration / partial of datacite:dateType),sh:in (Created/Updated/Deleted) — 3개 값만; sh:minCount 1; sh:maxCount 1,ttaap:Collection_DateType → datacite:dateType (with subset constraint),NA,NA,NA,NA,secondary,medium,TTA CollectionDateType은 3개 값(Created/Updated/Deleted)만 — DataCite DatasetDateType (9개 값)의 부분집합. 별도 통제어로 처리 필요,Rule 1: TTA 표준 line 389 DataCite-Property (ID 8.1) 인용 + Collection 전용 통제어 (CV-011~013) 별도 정의,Phase C: 별도 sh:in 제약 (3개 값만) 또는 datacite:dateType의 sub-set
TTA-0976-108,컬렉션 설명,collection,R,dcterms:description,sh:datatype xsd:string; sh:minCount 0,ttaap:Collection_Description → dcterms:description,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 405 DCMI 참조: dc:description 직접 인용,
TTA-0976-109,주제 (C),collection,R,dcterms:subject,sh:NodeShape (1:N container); sh:property [SubjectScheme/ID/Name]; sh:minCount 0; sh:maxCount unbounded,ttaap:Collection_Subject → dcterms:subject (★ SKOS Concept 패턴 변환),NA,NA,NA,NA,secondary,medium,"★ SKOS Concept 패턴 적용: TTA Subject Class → skos:Concept + skos:inScheme. 통제어 사용 시 ConceptScheme 정의, 자유 텍스트면 Concept만",Rule 2: TTA 표준 line 439 DCMI 참조: dc:subject + re3data ID 13. 1:N 구조 변환 필요,Phase C: SKOS 변환 패턴 — conflicts.md에 별도 섹션 기록
TTA-0976-110,주제 체계 (C),collection,R,re3data:subjectScheme,sh:datatype xsd:string; sh:minCount 0,ttaap:Collection_SubjectScheme → re3data:subjectScheme,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 456 re3data.org property (ID 13) 직접 인용,SKOS 변환 시 skos:inScheme로 표현
TTA-0976-111,주제 ID (C),collection,R,re3data:subjectID,sh:datatype xsd:string; sh:minCount 0,ttaap:Collection_SubjectID → re3data:subjectID,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 466 re3data.org property (ID 13.2) 직접 인용,SKOS 변환 시 skos:notation
TTA-0976-112,주제명 (C),collection,M,re3data:subjectName,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Collection_SubjectName → re3data:subjectName,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 476 re3data.org property (ID 13.3) 직접 인용,SKOS 변환 시 skos:prefLabel
TTA-0976-113,컬렉션 생성자,collection,R,dcterms:creator,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 0,ttaap:Collection_Creator → dcterms:creator,NA,NA,NA,NA,primary,high,(none),"Rule 2: TTA 표준 line 486 DCMI 참조: dc:creator 직접 인용. 후순위: schema:creator, prov:Creator (PROV-DC ext)",
TTA-0976-114,컬렉션 연락처,collection,R,dcat:contactPoint,sh:datatype xsd:string OR sh:nodeKind sh:IRI (vCard 권장); sh:minCount 0,ttaap:Collection_Contact → dcat:contactPoint,NA,NA,NA,NA,primary,medium,TTA standard cites N/A — 글로벌 어휘 대응 부재 (3개 Contact 항목 중 하나),Rule 4 (DCAT v3 우선): TTA N/A → 의미 매칭 → schema:contactPoint vs dcat:contactPoint 동률 → DCAT v3 채택,후순위: schema:contactPoint
TTA-0976-115,컬렉션 저작권,collection,R,dcterms:rights,sh:datatype xsd:string; sh:minCount 0,ttaap:Collection_Rights → dcterms:rights,NA,NA,NA,dcterms:rights (rights constraint slot active),primary,high,(none),"Rule 1: TTA 표준 line 508 DataCite-Property (ID 16, Rights) 직접 인용 — 그러나 dcterms:rights가 더 일반적이고 DCAT v3 호환. 후순위: datacite:rights — 동등 표현 가능.",c7 활성
TTA-0976-116,컬렉션 키워드,collection,O,dcat:keyword,sh:datatype xsd:string; sh:maxCount 1,ttaap:Collection_Keyword → dcat:keyword,NA,NA,NA,NA,primary,high,TTA standard cites N/A,Rule 4 (DCAT v3 우선): TTA N/A → schema:keywords vs dcat:keyword 동률 → DCAT v3 채택,후순위: schema:keywords
TTA-0976-117,접근 유형 (C),collection,O,re3data:dataAccessType,sh:in (open/embargoed/restricted/closed); sh:maxCount 1,ttaap:Collection_AccessType → re3data:dataAccessType,NA,NA,NA,dcterms:accessRights,primary,high,(none),"Rule 1: TTA 표준 line 528-529 re3data.org property (ID 22.1, dataAccessType) 직접 인용",c7 활성. 후순위: dcterms:accessRights
TTA-0976-118,접근 제한 (C),collection,O,re3data:dataAccessRestriction,sh:in (free/feeRequired/registration/institutional membership/non-registration/other); sh:maxCount 1,ttaap:Collection_AccessRestriction → re3data:dataAccessRestriction,NA,NA,NA,dcterms:accessRights,primary,high,(none),"Rule 1: TTA 표준 line 542-543 re3data.org property (ID 22.2, dataAccessRestriction) 직접 인용",c7 활성
TTA-0976-201,데이터셋,dataset,O,dcat:Dataset,sh:NodeShape (Class container); equivalentClass relations,ttaap:Dataset → dcat:Dataset,NA,NA,NA,NA,primary,high,"3개 표준 owl:equivalentClass 관계 (dcat:Dataset, schema:Dataset, dctype:Dataset). DCAT v3 채택",Rule 4 (DCAT v3 우선): 3개 표준이 모두 equivalentClass 선언. DCAT v3 채택,후순위: schema:Dataset (Croissant이 확장)
TTA-0976-202,데이터셋 식별자,dataset,M,dcterms:identifier,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_Identifier → dcterms:identifier,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 582 DCMI 참조: dc:identifier 직접 인용,
TTA-0976-203,식별자 유형 (D),dataset,O,datacite:identifierType,sh:in (IdentifierType CV); sh:datatype xsd:string; sh:maxCount 1,ttaap:Dataset_IdentifierType → datacite:identifierType,NA,NA,NA,NA,primary,high,"★ [CONFLICT 적용] 본문 M, 부록 O — 부록 우선 적용 (Decision-003)",Rule 1: TTA 표준 line 597 DataCite-Property (ID 1.1) 직접 인용,
TTA-0976-204,데이터셋 제목,dataset,M,dcterms:title,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_Title → dcterms:title,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 611 DCMI 참조: dc:title 직접 인용,
TTA-0976-205,제목 유형 (D),dataset,M,datacite:titleType,sh:in (AlternativeTitle/Subtitle/TranslatedTitle/other); sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_TitleType → datacite:titleType,NA,NA,NA,NA,secondary,medium,DCMI에 title-type 직접 대응 없음,"Rule 1: TTA 표준 line 622 DataCite-Property (ID 3.1, titleType) 직접 인용",
TTA-0976-206,데이터셋 생성자,dataset,M,dcterms:creator,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_Creator → dcterms:creator,NA,NA,NA,NA,primary,high,(none),"Rule 2: TTA 표준 line 634 DCMI 참조: dc:creator 직접 인용. 후순위: schema:creator, prov:Creator",
TTA-0976-207,데이터셋 발행자,dataset,R,dcterms:publisher,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 0,ttaap:Dataset_Publisher → dcterms:publisher,NA,NA,NA,NA,primary,high,"★ [CONFLICT 적용] 본문 M, 부록 R — 부록 우선 적용 (Decision-004)","Rule 2: TTA 표준 line 649 DCMI 참조: dc:publisher 직접 인용. 후순위: schema:publisher, prov:Publisher",
TTA-0976-208,발행연도 (D),dataset,M,datacite:publicationYear,sh:datatype xsd:gYear; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_PublicationYear → datacite:publicationYear,NA,prov:generatedAtTime (loose: publication ≠ generation; conditional),NA,NA,primary,high,DCMI에 publicationYear 직접 대응 없음 (dcterms:issued는 datetype). DataCite가 정확한 매핑,"Rule 1: TTA 표준 line 664 DataCite-Property (ID 5, PublicationYear) 직접 인용. 후순위: dcterms:issued",c5 활성 (loose): publishing은 generation의 일종
TTA-0976-209,데이터셋 날짜,dataset,R,dcterms:date,sh:datatype xsd:date OR xsd:dateTime (W3CDTF 권장); sh:minCount 0,ttaap:Dataset_Date → dcterms:date,NA,prov:generatedAtTime (when DateType=Created); prov:invalidatedAtTime (when DateType=Withdrawn); prov:wasRevisionOf (when DateType=Updated) — Decision-Q3 conditional,NA,NA,primary,high,DateType 값에 따라 c5 활성 패턴 다름,Rule 2: TTA 표준 line 676 DCMI 참조: dc:date 직접 인용,c5 활성 — 통제어 매핑 단계에서 정밀화
TTA-0976-210,날짜 유형 (D),dataset,R,datacite:dateType,sh:in (Accepted/Available/Copyrighted/Collected/Created/Issued/Submitted/Updated/Valid); sh:datatype xsd:string,ttaap:Dataset_DateType → datacite:dateType,NA,NA,NA,NA,primary,high,TTA의 DatasetDateType 9개 값은 DataCite와 1:1 일치,"Rule 1: TTA 표준 line 689 DataCite-Property (ID 8.1, dateType) 직접 인용",
TTA-0976-211,데이터셋 설명,dataset,R,dcterms:description,sh:datatype xsd:string; sh:minCount 0,ttaap:Dataset_Description → dcterms:description,NA,NA,NA,NA,primary,high,(none),Rule 2: TTA 표준 line 707 DCMI 참조: dc:description 직접 인용,
TTA-0976-212,주제 (D),dataset,R,dcterms:subject,sh:NodeShape (1:N container); sh:property [SubjectScheme/ID/Name]; sh:minCount 0; sh:maxCount unbounded,ttaap:Dataset_Subject → dcterms:subject (★ SKOS Concept 패턴 변환),NA,NA,NA,NA,secondary,medium,★ SKOS Concept 패턴 적용 (Collection Subject와 동일),Rule 2: TTA 표준 line 735 DCMI 참조: dc:subject + re3data ID 13. 1:N 구조 변환 필요,Phase C: SKOS 변환 패턴 — conflicts.md에 별도 섹션 기록
TTA-0976-213,주제 체계 (D),dataset,M,re3data:subjectScheme,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_SubjectScheme → re3data:subjectScheme,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 752 re3data.org property (ID 13) 직접 인용,SKOS 변환 시 skos:inScheme
TTA-0976-214,주제 ID (D),dataset,R,re3data:subjectID,sh:datatype xsd:string; sh:minCount 0,ttaap:Dataset_SubjectID → re3data:subjectID,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 762 re3data.org property (ID 13.2) 직접 인용,SKOS 변환 시 skos:notation
TTA-0976-215,주제명 (D),dataset,M,re3data:subjectName,sh:datatype xsd:string; sh:minCount 1; sh:maxCount 1,ttaap:Dataset_SubjectName → re3data:subjectName,NA,NA,NA,NA,primary,high,(none),Rule 1: TTA 표준 line 772 re3data.org property (ID 13.3) 직접 인용,SKOS 변환 시 skos:prefLabel
TTA-0976-216,데이터셋 기여자,dataset,R,datacite:contributor,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:minCount 0,ttaap:Dataset_Contributor → datacite:contributor,NA,NA,NA,NA,primary,high,(none),"Rule 1: TTA 표준 line 782 DataCite-Property (ID 7, Contributor) 직접 인용 (DCMI 인용 없음). 후순위: dcterms:contributor, schema:contributor, prov:Contributor",
TTA-0976-217,기여자 유형 (D),dataset,R,datacite:contributorType,sh:in (ContactPerson/DataCollector/.../WorkPackageLeader/Other) — 22개 값; sh:datatype xsd:string,ttaap:Dataset_ContributorType → datacite:contributorType,NA,NA,NA,NA,primary,high,TTA의 ContributorType 22개 값 = DataCite와 1:1 일치,"Rule 1: TTA 표준 line 796 DataCite-Property (ID 7.1, contributorType) 직접 인용",
TTA-0976-218,데이터셋 연락처,dataset,O,dcat:contactPoint,sh:datatype xsd:string OR sh:nodeKind sh:IRI (vCard 권장); sh:maxCount 1,ttaap:Dataset_Contact → dcat:contactPoint,NA,NA,NA,NA,primary,medium,TTA standard cites N/A — 글로벌 어휘 대응 부재 (3개 Contact 항목 중 하나),Rule 4 (DCAT v3 우선): TTA N/A → schema:contactPoint vs dcat:contactPoint 동률 → DCAT v3 채택,후순위: schema:contactPoint
TTA-0976-219,데이터셋 저작권,dataset,O,datacite:rights,sh:datatype xsd:string OR sh:nodeKind sh:IRI; sh:maxCount 1,ttaap:Dataset_Rights → datacite:rights,NA,NA,NA,dcterms:rights (rights constraint slot active),primary,high,(none),"Rule 1: TTA 표준 line 816 DataCite-Property (ID 16, Rights) 직접 인용. 후순위: dcterms:rights (자유 문장)",c7 활성
TTA-0976-220,데이터셋 키워드,dataset,O,dcat:keyword,sh:datatype xsd:string; sh:maxCount 1,ttaap:Dataset_Keyword → dcat:keyword,NA,NA,NA,NA,primary,high,TTA standard cites N/A,Rule 4 (DCAT v3 우선): TTA N/A → schema:keywords vs dcat:keyword 동률 → DCAT v3 채택,후순위: schema:keywords
TTA-0976-221,접근 유형 (D),dataset,O,re3data:dataAccessType,sh:in (open/embargoed/restricted/closed); sh:maxCount 1,ttaap:Dataset_AccessType → re3data:dataAccessType,NA,NA,NA,dcterms:accessRights,primary,high,[CHECK 잔존] PDF 손상으로 M/R/O 누락 — O 추정 (Decision-005),Rule 1: TTA 표준 line 840 re3data.org property (ID 22.1) 직접 인용,c7 활성. PG606 확인 필요
TTA-0976-222,접근 제한 (D),dataset,O,re3data:dataAccessRestriction,sh:in (free/feeRequired/registration/institutional membership/non-registration/other); sh:maxCount 1,ttaap:Dataset_AccessRestriction → re3data:dataAccessRestriction,NA,NA,NA,dcterms:accessRights,primary,high,(none),Rule 1: TTA 표준 line 851 re3data.org property (ID 22.2) 직접 인용,c7 활성
